"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1","","Abtsroda Sieblos","","50.506547","9.910845","1801","","0","","",""
"2","","Abtsroda Sieblos","","50.50654","9.908987","1801","","0","","",""
"3","","Abtsroda","","50.508613","9.925035","1801","","0","","",""
"4","","Abtsroda","","50.508563","9.92513","1801","","0","","",""
"5","","Abtsroda Tränkhof","","50.498842","9.893133","1801","","0","","",""
"6","","Abtsroda Tränkhof","","50.498807","9.893127","1801","","0","","",""
"7","","Allmus","","50.595265","9.813925","2068","","0","","",""
"8","","Allmus","","50.594918","9.813013","2068","","0","","",""
"9","","Almendorf","","50.575912","9.74597","2035","","0","","",""
"10","","Almendorf","","50.57603","9.746092","2035","","0","","",""
"11","","Armenhof Sägewerk","","50.562428","9.785438","2074","","0","","",""
"12","","Armenhof Sägewerk","","50.562372","9.785538","2074","","0","","",""
"13","","Armenhof Waldstraße","","50.560513","9.794313","2074","","0","","",""
"14","","Armenhof Waldstraße","","50.560528","9.792427","2074","","0","","",""
"15","","Arzell Friedhof","","50.763412","9.777893","1653","","0","","",""
"16","","Arzell Friedhof","","50.763118","9.777627","1653","","0","","",""
"17","","Arzell Kindergarten","","50.763037","9.78262","1653","","0","","",""
"18","","Arzell Kirschenmühle","","50.766991","9.773879","1653","","0","","",""
"19","","Arzell Kirschenmühle","","50.766937","9.773822","1653","","0","","",""
"20","","Arzell Ortsmitte","","50.762808","9.78026","1653","","0","","",""
"21","","Arzell Ortsmitte","","50.762765","9.780033","1653","","0","","",""
"22","","Altschwambach Kreuzung","","50.601912","9.980912","1713","","0","","",""
"23","","Altschwambach Kreuzung","","50.601878","9.980913","1713","","0","","",""
"24","","Aura","","50.58324","9.983533","1713","","0","","",""
"25","","Aura","","50.5833","9.983598","1713","","0","","",""
"26","","Künzell Bachrain Kirche","","50.539330186","9.705035537","2030","","0","","",""
"27","","Künzell Bachrain Kirche","","50.539147359","9.705498219","2030","","0","","",""
"28","","Künzell Bachrain Sportplatz","","50.535437","9.712533","2030","","0","","",""
"29","","Künzell Bachrain Sportplatz","","50.535473","9.71234","2030","","0","","",""
"30","","Batten Findlos Abzweig","","50.551285","10.00282","1740","","0","","",""
"31","","Batten Findlos Abzweig","","50.55133","10.002755","1740","","0","","",""
"32","","Batten Industriegebiet","","50.557995","10.008378","1740","","0","","",""
"33","","Batten","","50.555822","10.009178","1740","","0","","",""
"34","","Batten","","50.555082","10.009202","1740","","0","","",""
"35","","Batten","","50.554988","10.00989","1740","","0","","",""
"36","","Bernhards Steinbrücke","","50.6074","9.727502","2060","","0","","",""
"37","","Bernhards Steinbrücke","","50.607479","9.727318","2060","","0","","",""
"38","","Bernhards Ortsmitte","","50.601067","9.721855","2060","","0","","",""
